duration,num_updates,action_loss,eval_avg_reward,eval_avg_ep_len,eval_d4rl_score,,,,100£»1,10£»1,1£»1,1£»10,1£»100,1£»1000
1:54:30,109300,0.073114924,3928.57132,1000,33.90003712,,,,3928.57132,4048.471605,2995.018586,3767.174567,3224.910631,2973.963202
1:55:32,109400,0.071916301,3102.680945,1000,27.24777396,,,,3102.680945,3999.277957,2346.603823,3437.224253,3060.198308,3245.488641
1:56:35,109500,0.072752629,4281.843091,1000,36.74551983,,,,4281.843091,4454.086739,3913.74286,3810.210383,4368.705538,3784.452411
1:57:35,109600,0.071713878,3478.88686,1000,30.27798332,,,,3478.88686,3988.489944,3721.749308,4046.735708,3578.58889,4646.17006
1:58:36,109700,0.072575712,2714.638969,1000,24.1222292,,,,2714.638969,3402.618318,3450.678402,2892.454681,3472.511003,4311.428404
1:59:36,109800,0.07103966,3823.096336,1000,33.05047236,,,,3823.096336,4611.181556,4007.571626,3884.743231,4043.588242,4246.35776
2:00:37,109900,0.070929572,3096.279813,1000,27.19621504,,,,3096.279813,3485.822833,3348.472675,3213.340909,4054.24657,3464.765148
2:01:38,110000,0.070594502,4058.533297,1000,34.94683618,,,,4058.533297,4598.419101,3988.630089,3129.021845,3935.099968,4342.905277
2:02:41,110100,0.070272849,3292.849201,1000,28.77951391,,,,3292.849201,3352.883322,4600.924796,3693.781804,3748.210969,2990.258395
2:03:41,110200,0.070158147,4545.091826,1000,38.86589793,,,,4545.091826,4221.80002,4476.025509,4481.941012,4541.240335,4423.335975
2:04:42,110300,0.070082345,3179.65415,1000,27.86776668,,,,3179.65415,3588.567799,3989.592511,4643.408672,2845.671849,3479.282176
2:05:44,110400,0.068727355,2938.440878,1000,25.92487666,,,,2938.440878,4219.649819,3844.923369,3900.216345,4300.614362,4396.89718
2:06:45,110500,0.068876063,4669.673488,1000,39.8693604,,,,4669.673488,3283.865626,3593.423811,3290.546517,4734.510924,4672.89112
2:07:47,110600,0.067228304,3472.393276,1000,30.22567974,,,,3472.393276,4871.285393,3147.565574,3492.381951,3161.554644,3744.22027
2:08:48,110700,0.069633863,3277.728552,1000,28.65772228,,,,3277.728552,3968.727076,4217.242909,4525.925792,4427.668977,4881.706137
2:09:49,110800,0.068234034,3802.785108,1000,32.8868724,,,,3802.785108,4888.153105,3958.904316,3902.694105,4870.606264,4210.390431
2:10:50,110900,0.067839446,4510.368544,1000,38.58621382,,,,4510.368544,3244.806393,2771.772918,4352.708147,3869.943264,4108.190353
2:11:51,111000,0.067019566,3783.552841,1000,32.73196311,,,,3783.552841,3596.645637,4448.710819,3833.600167,4362.407583,3889.536685
2:12:54,111100,0.066649465,4314.550729,1000,37.00896862,,,,4314.550729,4432.091888,3877.100986,4813.836407,4807.285984,4186.040246
2:13:55,111200,0.066418942,4051.680696,1000,34.89164084,,,,4051.680696,4712.291672,4838.325789,4799.727004,4838.565705,3829.445357
2:14:55,111300,0.066024274,4325.208631,1000,37.09481435,,,,4325.208631,4399.818232,3762.656075,4025.645833,3388.566452,3885.980994
2:15:57,111400,0.065286579,4062.741135,1000,34.98072886,,,,4062.741135,4082.187262,4060.617788,4654.868752,4151.235786,3667.133516
2:17:00,111500,0.065438009,4777.835797,1000,40.74057063,,,,4777.835797,4540.196919,4161.652588,4424.342751,4487.017058,4452.081136
2:18:01,111600,0.066146085,4066.522875,1000,35.01118948,,,,4066.522875,4787.955971,4559.878354,4332.571909,4445.738177,3927.667241
2:19:02,111700,0.064490403,4960.487001,1000,42.21176331,,,,4960.487001,4909.176246,4540.093826,4882.315183,4892.940467,4937.997913
2:20:03,111800,0.065642871,5027.64887,1000,42.75272909,,,,5027.64887,4358.604349,4689.318737,4515.277148,4856.526877,4984.830809
2:21:05,111900,0.064770781,4110.578227,1000,35.3660402,,,,4110.578227,3481.768125,3650.763506,3538.244801,3296.953261,3500.821889
2:22:07,112000,0.06450695,4521.391703,1000,38.67500158,,,,4521.391703,4803.159684,4684.128096,4544.115924,4434.791429,4404.850231
2:23:09,112100,0.064332706,4519.83926,1000,38.66249718,,,,4519.83926,4828.93746,4545.1851,4149.97156,4504.035026,4352.333656
2:24:10,112200,0.063554744,3357.82886,1000,29.30290274,,,,3357.82886,4897.775616,3498.506442,4224.279359,4256.395809,4075.074296
2:25:11,112300,0.064690728,4174.311262,1000,35.8793879,,,,4174.311262,4379.36342,3274.566999,4943.085103,4455.016574,3497.101999
2:26:12,112400,0.063163441,3922.848108,1000,33.85393861,,,,3922.848108,4612.96221,4346.360766,4515.445387,3557.822949,4568.134702
